,Brand,ModelName,ModelID,Color,Transmission,mileage,Price,bodyTypeName,FuelType,SellerState,MSRP,DaysOnMarket,OwnerCount,AccidentCount,Alloy Wheels,Backup Camera,Bluetooth,Heated Seats,Navigation System,Leather Seats,Blind Spot Monitoring,Sunroof/Moonroof,Remote Start,CarPlay,Android Auto,Parking Sensors,Adaptive Cruise Control,YearOld,id
31,Ford,F-150,d337,GRAY,Automatic,47477.0,31962.0,Pickup Truck,Gasoline,IL,,307,1.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,31
32,Ford,Bronco,d320,UNKNOWN,Automatic,1012.0,52995.0,SUV / Crossover,Gasoline,IL,,111,1.0,0.0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,32
33,RAM,2500,d2102,RED,Automatic,96359.0,44400.0,Pickup Truck,,IL,,245,1.0,0.0,1,1,1,1,0,1,0,0,0,0,0,1,0,5,33
34,GMC,Acadia,d925,WHITE,Automatic,62720.0,28250.0,SUV / Crossover,Gasoline,IL,,27,2.0,0.0,1,1,1,1,1,0,1,1,1,1,1,0,0,4,34
35,Chevrolet,Colorado,d614,RED,Automatic,180000.0,9440.0,Pickup Truck,Gasoline,IL,,1,2.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,11,35
36,Ford,F-150,d337,WHITE,Automatic,6169.0,41962.0,Pickup Truck,Flex Fuel Vehicle,IL,,19,,0.0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,36
37,Chevrolet,Silverado 1500,d630,WHITE,Automatic,71878.0,25715.0,Pickup Truck,Gasoline,IL,,90,1.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,37
38,Chevrolet,Silverado 1500,d630,BLUE,Automatic,61592.0,37598.0,Pickup Truck,Gasoline,MO,,35,1.0,0.0,1,1,1,0,0,0,0,0,1,1,0,0,0,4,38
39,Chevrolet,Silverado 1500,d630,BLACK,Automatic,5720.0,57940.0,Pickup Truck,Gasoline,MO,,84,1.0,0.0,1,1,1,1,1,1,1,1,1,0,0,1,1,2,39
40,Hyundai,Elantra,d92,SILVER,Automatic,86720.0,14587.0,Sedan,Gasoline,IL,16997.0,155,3.0,2.0,1,1,1,1,0,1,0,0,0,0,0,0,0,6,40
41,Audi,Q5,d1988,SILVER,Automatic,13007.0,43900.0,SUV / Crossover,Gasoline,MO,,279,1.0,0.0,1,1,1,1,0,1,0,1,0,1,1,0,0,2,41
42,Dodge,Charger,d733,RED,Automatic,73591.0,36892.0,Sedan,Gasoline,MO,,21,5.0,1.0,1,1,1,0,0,0,0,0,1,1,1,1,0,5,42
43,Honda,Pilot,d594,BLACK,Automatic,86503.0,28497.0,SUV / Crossover,Gasoline,IL,,33,1.0,0.0,1,1,1,1,1,1,1,1,1,0,0,0,1,6,43
44,Kia,Sorento,d162,BLUE,Automatic,78416.0,24411.0,SUV / Crossover,Gasoline,MO,,97,1.0,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,3,44
45,Honda,Pilot,d594,BLACK,Automatic,35881.0,28250.0,SUV / Crossover,Gasoline,MO,,77,1.0,0.0,1,1,1,0,0,0,0,0,0,1,1,0,0,4,45
46,Toyota,Prius,d15,WHITE,CVT,10171.0,28250.0,Hatchback,Hybrid,MO,,5,1.0,1.0,1,1,1,0,0,0,1,0,0,0,0,0,1,3,46
47,Chevrolet,Silverado 1500,d630,WHITE,Automatic,92089.0,32977.0,Pickup Truck,Gasoline,IL,32977.0,16,2.0,0.0,1,1,1,0,0,0,0,0,0,1,1,0,0,4,47
48,Hyundai,Sonata,d96,BLACK,Automatic,6146.0,34750.0,Sedan,Gasoline,MO,,0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,48
49,Mercedes-Benz,GLE-Class,d2317,GRAY,Automatic,47371.0,36990.0,SUV / Crossover,Gasoline,MO,,289,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0,4,49
50,Ford,Escape,d330,BLACK,Automatic,42132.0,27750.0,SUV / Crossover,Gasoline,MO,,18,1.0,0.0,1,1,1,1,1,1,1,0,1,1,1,0,1,2,50
51,Mazda,MX-5 Miata,d221,RED,Manual,8731.0,28508.0,Convertible,Gasoline,MO,,81,2.0,0.0,1,0,1,1,1,1,1,0,0,0,0,0,0,5,51
52,GMC,Sierra 1500,d116,BLACK,Automatic,21762.0,35900.0,Pickup Truck,Gasoline,MO,,39,1.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,52
53,Chevrolet,Corvette,d1,BLACK,Automatic,39610.0,50940.0,Coupe,Gasoline,MO,,9,2.0,0.0,0,1,1,1,1,1,0,0,1,0,0,0,0,6,53
54,Chevrolet,Silverado 3500HD,d1027,GRAY,Automatic,37808.0,56992.0,Pickup Truck,Biodiesel,MO,,128,1.0,0.0,1,1,1,0,1,0,0,0,1,0,0,0,0,3,54
55,Chevrolet,Trax,d2272,BLACK,Automatic,20832.0,21000.0,SUV / Crossover,Gasoline,MO,24000.0,37,1.0,0.0,1,1,1,0,0,0,0,0,1,1,0,0,0,2,55
56,GMC,Sierra 1500,d116,RED,Automatic,32780.0,51830.0,Pickup Truck,Gasoline,IL,,58,1.0,0.0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,56
57,Ford,F-150,d337,BLACK,Automatic,11246.0,44250.0,Pickup Truck,Gasoline,MO,,113,1.0,0.0,1,1,1,1,1,0,0,1,1,0,0,0,0,3,57
58,Dodge,Journey,d1135,BLACK,Automatic,69585.0,23000.0,SUV / Crossover,Gasoline,MO,,20,2.0,0.0,1,1,1,0,0,1,0,0,0,0,0,0,0,3,58
59,Jeep,Wrangler Unlimited,d2412,GRAY,Automatic,18450.0,54750.0,SUV / Crossover,Gasoline,MO,,15,1.0,0.0,1,1,1,1,1,1,1,0,1,1,1,1,0,2,59
60,Subaru,XV Crosstrek,d2179,GRAY,CVT,81777.0,17792.0,SUV / Crossover,Gasoline,MO,,35,1.0,0.0,1,1,1,1,0,1,0,0,0,0,0,0,0,8,60
61,Nissan,Rogue Sport,d2513,RED,CVT,11834.0,25077.0,SUV / Crossover,Gasoline,MO,30725.0,28,1.0,0.0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,61
62,Volkswagen,Tiguan,d1104,WHITE,Automatic,42693.0,32800.0,SUV / Crossover,Gasoline,IL,,159,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,62
63,Jeep,Wrangler Unlimited,d2412,WHITE,Automatic,98308.0,30899.0,SUV / Crossover,Gasoline,IL,32104.0,120,2.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,63
64,GMC,Acadia,d925,BLUE,Automatic,84959.0,28750.0,SUV / Crossover,Gasoline,IL,28750.0,146,1.0,1.0,0,1,1,1,1,1,1,1,1,1,1,1,0,4,64
65,Chevrolet,Equinox,d616,ORANGE,Automatic,100434.0,16999.0,SUV / Crossover,Gasoline,IL,17678.0,141,1.0,0.0,1,1,1,0,0,0,0,0,0,1,1,0,0,4,65
66,Nissan,Quest,d248,GRAY,CVT,115743.0,18777.0,Minivan,Gasoline,MO,17244.0,292,1.0,2.0,1,1,1,1,1,1,1,1,1,0,0,1,0,6,66
67,Lincoln,Nautilus,d2680,BLACK,Automatic,25144.0,44995.0,SUV / Crossover,Gasoline,MO,,169,1.0,0.0,0,1,1,0,1,1,0,1,0,0,0,0,0,3,67
68,Hyundai,Tucson,d98,GRAY,Automatic,57197.0,20799.0,SUV / Crossover,Gasoline,IL,24846.0,74,2.0,0.0,1,1,1,1,0,0,1,1,0,0,0,1,0,5,68
69,Dodge,Durango,d651,UNKNOWN,Automatic,27501.0,46450.0,SUV / Crossover,Gasoline,IL,46450.0,105,2.0,1.0,1,1,1,1,1,1,0,0,1,1,1,0,0,2,69
70,Buick,Encore,d2128,BLUE,Automatic,64570.0,19995.0,SUV / Crossover,Gasoline,MO,,174,2.0,0.0,1,1,1,1,1,1,1,0,1,0,0,0,0,5,70
71,Subaru,Ascent,d2650,SILVER,CVT,41026.0,32495.0,SUV / Crossover,Gasoline,MO,,185,1.0,1.0,1,1,1,1,1,1,1,1,0,1,1,1,1,3,71
72,Hyundai,Santa Fe Sport,d2383,RED,Automatic,121726.0,13995.0,SUV / Crossover,Gasoline,MO,,109,2.0,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0,8,72
73,Audi,A6,d27,BLACK,Automatic,54367.0,31750.0,Sedan,Gasoline,IL,31750.0,78,2.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,73
